Date.Day,Date.Full,Date.Month,Date.Year,Show.Name,Show.Theatre,Show.Type,Statistics.Attendance,Statistics.Capacity,Statistics.Gross,Statistics.Gross Potential,Statistics.Performances
4,1/4/2015,1,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,7379,101,1011822,96,8
4,1/4/2015,1,2015,Aladdin,New Amsterdam,Musical,13787,100,1842291,118,8
4,1/4/2015,1,2015,Beautiful,Stephen Sondheim,Musical,7995,97,1264728,95,8
4,1/4/2015,1,2015,Cabaret '14,Studio 54,Musical,7176,100,1051850,103,8
4,1/4/2015,1,2015,Chicago,Ambassador,Musical,8407,97,950544,96,8
4,1/4/2015,1,2015,Cinderella,Broadway,Musical,15710,100,1873246,139,9
4,1/4/2015,1,2015,Constellations,Friedman,Play,5040,97,478445,70,0
4,1/4/2015,1,2015,Disgraced,Lyceum,Play,5737,78,386752,50,8
4,1/4/2015,1,2015,Hedwig And The Angry Inch,Belasco,Musical,6717,95,777340,105,7
4,1/4/2015,1,2015,Honeymoon In Vegas,Nederlander,Musical,7657,84,409674,36,0
4,1/4/2015,1,2015,If/Then,Richard Rodgers,Musical,9396,90,898321,70,8
4,1/4/2015,1,2015,It'S Only A Play,Schoenfeld,Play,8480,99,1455818,109,8
4,1/4/2015,1,2015,Jersey Boys,August Wilson,Musical,9265,94,1091460,85,8
4,1/4/2015,1,2015,Kinky Boots,Al Hirschfeld,Musical,12921,101,1572870,86,9
4,1/4/2015,1,2015,Les Miserables '14,Imperial,Musical,12671,100,1425137,104,9
4,1/4/2015,1,2015,Mamma Mia!,Broadhurst,Musical,9102,98,1002625,89,8
4,1/4/2015,1,2015,Matilda,Shubert,Musical,11543,101,1502817,118,8
4,1/4/2015,1,2015,Motown The Musical,Lunt-Fontanne,Musical,10613,88,1215495,86,8
4,1/4/2015,1,2015,On The Town 2014,Lyric,Musical,11207,75,968359,54,8
4,1/4/2015,1,2015,Once,Jacobs,Musical,8608,102,967968,105,8
4,1/4/2015,1,2015,Pippin,Music Box,Musical,7897,100,907253,86,8
4,1/4/2015,1,2015,Rock Of Ages,Helen Hayes,Musical,4550,98,583527,93,8
4,1/4/2015,1,2015,Side Show 2014,St. James,Musical,10327,99,810486,68,8
4,1/4/2015,1,2015,The Book Of Mormon,Eugene O'Neill,Musical,9846,103,2224280,130,9
4,1/4/2015,1,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,8125,100,1089779,114,8
4,1/4/2015,1,2015,The Elephant Man 2014,Booth,Play,6364,103,1069102,111,8
4,1/4/2015,1,2015,The Illusionists - Witness The Impossible,Marquis,Special,18683,97,2217405,91,12
4,1/4/2015,1,2015,The Last Ship,Neil Simon,Musical,8985,83,953165,77,8
4,1/4/2015,1,2015,The Lion King,Minskoff,Musical,13605,100,2514994,106,8
4,1/4/2015,1,2015,The Phantom Of The Opera,Majestic,Musical,13704,95,1649106,96,9
4,1/4/2015,1,2015,The Real Thing 2014,American Airlines,Play,5181,100,462361,83,7
4,1/4/2015,1,2015,The River,Circle In The Square,Play,5679,102,756740,101,8
4,1/4/2015,1,2015,The Temptations And The Four Tops On Broadway,Palace,Special,8780,75,819461,63,7
4,1/4/2015,1,2015,This Is Our Youth,Cort,Play,8236,86,569187,64,9
4,1/4/2015,1,2015,Wicked,Gershwin,Musical,15403,100,2740642,163,8
4,1/4/2015,1,2015,You Can'T Take It With You,Longacre,Play,6681,78,610186,62,8
11,1/11/2015,1,2015,A Delicate Balance 2014,Golden,Play,4706,73,582284,65,8
11,1/11/2015,1,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,6461,89,689857,72,8
11,1/11/2015,1,2015,Aladdin,New Amsterdam,Musical,13784,100,1388395,107,8
11,1/11/2015,1,2015,Beautiful,Stephen Sondheim,Musical,7101,87,1072591,84,8
11,1/11/2015,1,2015,Cabaret '14,Studio 54,Musical,6223,100,805093,90,7
11,1/11/2015,1,2015,Chicago,Ambassador,Musical,6269,73,480811,48,8
11,1/11/2015,1,2015,Constellations,Friedman,Play,4474,98,336203,57,0
11,1/11/2015,1,2015,Disgraced,Lyceum,Play,5146,70,382854,49,8
11,1/11/2015,1,2015,Hedwig And The Angry Inch,Belasco,Musical,6322,90,626117,84,7
11,1/11/2015,1,2015,Honeymoon In Vegas,Nederlander,Musical,7269,80,399588,35,0
11,1/11/2015,1,2015,If/Then,Richard Rodgers,Musical,8288,79,557954,43,8
11,1/11/2015,1,2015,It'S Only A Play,Schoenfeld,Play,7767,91,690904,61,8
11,1/11/2015,1,2015,Jersey Boys,August Wilson,Musical,8653,88,784031,68,8
11,1/11/2015,1,2015,Kinky Boots,Al Hirschfeld,Musical,9557,84,1006029,68,8
11,1/11/2015,1,2015,Les Miserables '14,Imperial,Musical,9657,86,759690,62,8
11,1/11/2015,1,2015,Mamma Mia!,Broadhurst,Musical,7478,80,551132,56,8
11,1/11/2015,1,2015,Matilda,Shubert,Musical,10640,93,879385,69,8
11,1/11/2015,1,2015,Motown The Musical,Lunt-Fontanne,Musical,10376,86,1086042,77,8
11,1/11/2015,1,2015,On The Town 2014,Lyric,Musical,8703,58,626999,35,8
11,1/11/2015,1,2015,Rock Of Ages,Helen Hayes,Musical,4528,97,444828,79,8
11,1/11/2015,1,2015,The Book Of Mormon,Eugene O'Neill,Musical,8751,103,1609728,116,8
11,1/11/2015,1,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,7940,97,860928,90,8
11,1/11/2015,1,2015,The Elephant Man 2014,Booth,Play,6265,101,994390,106,8
11,1/11/2015,1,2015,The Last Ship,Neil Simon,Musical,8230,76,840468,68,8
11,1/11/2015,1,2015,The Lion King,Minskoff,Musical,13337,98,1840464,100,8
11,1/11/2015,1,2015,The Phantom Of The Opera,Majestic,Musical,10531,82,814242,54,8
11,1/11/2015,1,2015,The River,Circle In The Square,Play,5387,97,668724,89,8
11,1/11/2015,1,2015,Wicked,Gershwin,Musical,13591,94,1593224,95,8
11,1/11/2015,1,2015,You Can'T Take It With You,Longacre,Play,5262,61,392715,40,8
18,1/18/2015,1,2015,A Delicate Balance 2014,Golden,Play,5349,83,641797,72,8
18,1/18/2015,1,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,6926,95,749039,78,8
18,1/18/2015,1,2015,Aladdin,New Amsterdam,Musical,13785,100,1487116,105,8
18,1/18/2015,1,2015,Beautiful,Stephen Sondheim,Musical,7630,93,1062857,83,8
18,1/18/2015,1,2015,Cabaret '14,Studio 54,Musical,7013,98,914904,90,8
18,1/18/2015,1,2015,Chicago,Ambassador,Musical,5771,67,437317,44,8
18,1/18/2015,1,2015,Constellations,Friedman,Play,5828,100,432399,55,9
18,1/18/2015,1,2015,Disgraced,Lyceum,Play,5238,71,404998,52,8
18,1/18/2015,1,2015,Hedwig And The Angry Inch,Belasco,Musical,6633,94,692620,94,7
18,1/18/2015,1,2015,Honeymoon In Vegas,Nederlander,Musical,7659,83,440476,43,5
18,1/18/2015,1,2015,If/Then,Richard Rodgers,Musical,8377,80,651330,50,8
18,1/18/2015,1,2015,It'S Only A Play,Schoenfeld,Play,7340,86,693963,61,8
18,1/18/2015,1,2015,Jersey Boys,August Wilson,Musical,8032,82,742891,65,8
18,1/18/2015,1,2015,Kinky Boots,Al Hirschfeld,Musical,9658,85,1051429,68,8
18,1/18/2015,1,2015,Les Miserables '14,Imperial,Musical,8990,80,724649,59,8
18,1/18/2015,1,2015,Mamma Mia!,Broadhurst,Musical,6333,68,476709,48,8
18,1/18/2015,1,2015,Matilda,Shubert,Musical,11041,96,987374,77,8
18,1/18/2015,1,2015,Motown The Musical,Lunt-Fontanne,Musical,12196,90,1299340,81,9
18,1/18/2015,1,2015,On The Town 2014,Lyric,Musical,9863,66,649289,36,8
18,1/18/2015,1,2015,Rock Of Ages,Helen Hayes,Musical,4542,97,492533,87,8
18,1/18/2015,1,2015,The Book Of Mormon,Eugene O'Neill,Musical,8752,103,1659010,115,8
18,1/18/2015,1,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,8101,99,883489,92,8
18,1/18/2015,1,2015,The Elephant Man 2014,Booth,Play,3978,103,678450,112,5
18,1/18/2015,1,2015,The Last Ship,Neil Simon,Musical,9017,84,838274,67,8
18,1/18/2015,1,2015,The Lion King,Minskoff,Musical,13200,97,1721611,94,8
18,1/18/2015,1,2015,The Phantom Of The Opera,Majestic,Musical,9402,73,747735,50,8
18,1/18/2015,1,2015,The River,Circle In The Square,Play,5698,102,722987,96,8
18,1/18/2015,1,2015,Wicked,Gershwin,Musical,14310,99,1684664,100,8
18,1/18/2015,1,2015,You Can'T Take It With You,Longacre,Play,5883,69,445041,45,8
25,1/25/2015,1,2015,A Delicate Balance 2014,Golden,Play,4941,77,562850,63,8
25,1/25/2015,1,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,6547,90,667767,70,8
25,1/25/2015,1,2015,Aladdin,New Amsterdam,Musical,13747,100,1347820,104,8
25,1/25/2015,1,2015,Beautiful,Stephen Sondheim,Musical,7637,93,1047501,82,8
25,1/25/2015,1,2015,Cabaret '14,Studio 54,Musical,7004,98,911305,89,8
25,1/25/2015,1,2015,Chicago,Ambassador,Musical,5787,67,427273,43,8
25,1/25/2015,1,2015,Constellations,Friedman,Play,5155,99,499445,64,8
25,1/25/2015,1,2015,Disgraced,Lyceum,Play,4928,67,360932,46,8
25,1/25/2015,1,2015,Hedwig And The Angry Inch,Belasco,Musical,5268,87,609617,93,6
25,1/25/2015,1,2015,Honeymoon In Vegas,Nederlander,Musical,6699,73,425029,37,8
25,1/25/2015,1,2015,If/Then,Richard Rodgers,Musical,7992,76,635189,49,8
25,1/25/2015,1,2015,It'S Only A Play,Jacobs,Play,4722,88,462008,62,5
25,1/25/2015,1,2015,Jersey Boys,August Wilson,Musical,7798,79,710588,62,8
25,1/25/2015,1,2015,Kinky Boots,Al Hirschfeld,Musical,9890,87,1001877,67,8
25,1/25/2015,1,2015,Les Miserables '14,Imperial,Musical,8391,74,609270,50,8
25,1/25/2015,1,2015,Mamma Mia!,Broadhurst,Musical,6563,70,463090,47,8
25,1/25/2015,1,2015,Matilda,Shubert,Musical,10110,88,805176,63,8
25,1/25/2015,1,2015,On The Town 2014,Lyric,Musical,9035,60,624882,35,8
25,1/25/2015,1,2015,The Book Of Mormon,Eugene O'Neill,Musical,8750,103,1575262,113,8
25,1/25/2015,1,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,7890,97,820145,86,8
25,1/25/2015,1,2015,The Elephant Man 2014,Booth,Play,6304,102,1035819,110,8
25,1/25/2015,1,2015,The Last Ship,Neil Simon,Musical,9459,88,843445,68,8
25,1/25/2015,1,2015,The Lion King,Minskoff,Musical,13056,96,1641207,90,8
25,1/25/2015,1,2015,The Phantom Of The Opera,Majestic,Musical,9235,72,689571,46,8
25,1/25/2015,1,2015,The River,Circle In The Square,Play,5531,99,616535,82,8
25,1/25/2015,1,2015,Wicked,Gershwin,Musical,14236,98,1500725,89,8
25,1/25/2015,1,2015,You Can'T Take It With You,Longacre,Play,5613,65,441995,45,8