Date.Day,Date.Full,Date.Month,Date.Year,Show.Name,Show.Theatre,Show.Type,Statistics.Attendance,Statistics.Capacity,Statistics.Gross,Statistics.Gross Potential,Statistics.Performances
1,2/1/2015,2,2015,A Delicate Balance 2014,Golden,Play,4289,67,462985,52,8
1,2/1/2015,2,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,6228,86,610647,64,8
1,2/1/2015,2,2015,Aladdin,New Amsterdam,Musical,11343,94,1119398,99,7
1,2/1/2015,2,2015,Beautiful,Stephen Sondheim,Musical,7222,88,964098,75,8
1,2/1/2015,2,2015,Cabaret '14,Studio 54,Musical,6756,95,896478,88,8
1,2/1/2015,2,2015,Chicago,Ambassador,Musical,4948,65,365600,42,7
1,2/1/2015,2,2015,Constellations,Friedman,Play,5060,97,508352,65,8
1,2/1/2015,2,2015,Disgraced,Lyceum,Play,4911,67,348413,45,8
1,2/1/2015,2,2015,Hedwig And The Angry Inch,Belasco,Musical,5704,81,604410,80,7
1,2/1/2015,2,2015,Honeymoon In Vegas,Nederlander,Musical,5088,55,369342,32,8
1,2/1/2015,2,2015,It'S Only A Play,Jacobs,Play,5681,66,513389,44,8
1,2/1/2015,2,2015,Jersey Boys,August Wilson,Musical,6953,71,624100,54,8
1,2/1/2015,2,2015,Kinky Boots,Al Hirschfeld,Musical,8762,77,839718,64,8
1,2/1/2015,2,2015,Les Miserables '14,Imperial,Musical,7730,69,565551,46,8
1,2/1/2015,2,2015,Mamma Mia!,Broadhurst,Musical,5297,65,357539,41,7
1,2/1/2015,2,2015,Matilda,Shubert,Musical,9085,79,682942,54,8
1,2/1/2015,2,2015,On The Town 2014,Lyric,Musical,7272,49,491489,27,8
1,2/1/2015,2,2015,The Book Of Mormon,Eugene O'Neill,Musical,8676,102,1423750,102,8
1,2/1/2015,2,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,7396,91,756733,79,8
1,2/1/2015,2,2015,The Elephant Man 2014,Booth,Play,5913,95,976936,104,8
1,2/1/2015,2,2015,The Lion King,Minskoff,Musical,11847,100,1337983,97,7
1,2/1/2015,2,2015,The Phantom Of The Opera,Majestic,Musical,7607,68,555046,42,7
1,2/1/2015,2,2015,The River,Circle In The Square,Play,5575,100,484695,77,8
1,2/1/2015,2,2015,Wicked,Gershwin,Musical,12829,89,1291035,77,8
1,2/1/2015,2,2015,You Can'T Take It With You,Longacre,Play,4986,58,354139,36,8
8,2/8/2015,2,2015,A Delicate Balance 2014,Golden,Play,4427,69,456872,51,8
8,2/8/2015,2,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,5838,80,584938,61,8
8,2/8/2015,2,2015,Aladdin,New Amsterdam,Musical,13090,95,1203871,93,8
8,2/8/2015,2,2015,Beautiful,Stephen Sondheim,Musical,7330,89,966461,75,8
8,2/8/2015,2,2015,Cabaret '14,Studio 54,Musical,7016,98,932882,92,8
8,2/8/2015,2,2015,Chicago,Ambassador,Musical,5903,68,447331,45,8
8,2/8/2015,2,2015,Constellations,Friedman,Play,5132,99,530585,68,8
8,2/8/2015,2,2015,Disgraced,Lyceum,Play,4633,63,333741,43,8
8,2/8/2015,2,2015,Fish In The Dark,Cort,Play,7590,101,993940,113,0
8,2/8/2015,2,2015,Hedwig And The Angry Inch,Belasco,Musical,4507,75,473945,73,6
8,2/8/2015,2,2015,Honeymoon In Vegas,Nederlander,Musical,4849,53,359163,31,8
8,2/8/2015,2,2015,If/Then,Richard Rodgers,Musical,7341,70,563156,44,8
8,2/8/2015,2,2015,It'S Only A Play,Jacobs,Play,5633,65,474936,41,8
8,2/8/2015,2,2015,Jersey Boys,August Wilson,Musical,6870,70,616604,54,8
8,2/8/2015,2,2015,Kinky Boots,Al Hirschfeld,Musical,8385,74,819594,63,8
8,2/8/2015,2,2015,Les Miserables '14,Imperial,Musical,6773,60,511848,42,8
8,2/8/2015,2,2015,Mamma Mia!,Broadhurst,Musical,5157,55,362236,37,8
8,2/8/2015,2,2015,Matilda,Shubert,Musical,9328,81,692151,54,8
8,2/8/2015,2,2015,On The Town 2014,Lyric,Musical,5420,36,379914,21,8
8,2/8/2015,2,2015,The Book Of Mormon,Eugene O'Neill,Musical,8715,102,1455237,105,8
8,2/8/2015,2,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,7130,88,738815,77,8
8,2/8/2015,2,2015,The Elephant Man 2014,Booth,Play,4651,100,721450,104,6
8,2/8/2015,2,2015,The Lion King,Minskoff,Musical,13180,97,1463314,92,8
8,2/8/2015,2,2015,The Phantom Of The Opera,Majestic,Musical,7818,61,583683,39,8
8,2/8/2015,2,2015,The River,Circle In The Square,Play,5703,102,503377,80,8
8,2/8/2015,2,2015,Wicked,Gershwin,Musical,12266,85,1262017,75,8
8,2/8/2015,2,2015,You Can'T Take It With You,Longacre,Play,4507,53,334244,34,8
15,2/15/2015,2,2015,A Delicate Balance 2014,Golden,Play,4799,75,491763,55,8
15,2/15/2015,2,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,5769,79,642010,64,8
15,2/15/2015,2,2015,Aladdin,New Amsterdam,Musical,13770,100,1489612,97,8
15,2/15/2015,2,2015,Beautiful,Stephen Sondheim,Musical,7548,92,1132369,88,8
15,2/15/2015,2,2015,Cabaret '14,Studio 54,Musical,7178,100,975224,96,8
15,2/15/2015,2,2015,Chicago,Ambassador,Musical,6884,80,593437,60,8
15,2/15/2015,2,2015,Constellations,Friedman,Play,5173,99,491055,72,8
15,2/15/2015,2,2015,Disgraced,Lyceum,Play,4647,63,351175,45,8
15,2/15/2015,2,2015,Fish In The Dark,Cort,Play,7630,102,1015643,116,0
15,2/15/2015,2,2015,Hedwig And The Angry Inch,Belasco,Musical,5656,80,635303,84,7
15,2/15/2015,2,2015,Honeymoon In Vegas,Nederlander,Musical,6092,66,491146,42,8
15,2/15/2015,2,2015,If/Then,Richard Rodgers,Musical,8669,83,687134,53,8
15,2/15/2015,2,2015,It'S Only A Play,Jacobs,Play,5715,66,541427,47,8
15,2/15/2015,2,2015,Jersey Boys,August Wilson,Musical,6569,67,679472,59,8
15,2/15/2015,2,2015,Kinky Boots,Al Hirschfeld,Musical,9370,82,1012786,73,8
15,2/15/2015,2,2015,Les Miserables '14,Imperial,Musical,7610,68,669499,55,8
15,2/15/2015,2,2015,Mamma Mia!,Broadhurst,Musical,6921,74,562438,57,8
15,2/15/2015,2,2015,Matilda,Shubert,Musical,9976,87,945588,73,8
15,2/15/2015,2,2015,On The Town 2014,Lyric,Musical,7385,49,552450,31,8
15,2/15/2015,2,2015,On The Twentieth Century,American Airlines,Musical,2857,97,228661,57,0
15,2/15/2015,2,2015,The Audience,Schoenfeld,Play,2161,101,331101,111,0
15,2/15/2015,2,2015,The Book Of Mormon,Eugene O'Neill,Musical,8749,103,1648502,114,8
15,2/15/2015,2,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,7014,86,767648,80,8
15,2/15/2015,2,2015,The Elephant Man 2014,Booth,Play,6300,102,1113192,119,8
15,2/15/2015,2,2015,The Lion King,Minskoff,Musical,13447,99,1726042,95,8
15,2/15/2015,2,2015,The Phantom Of The Opera,Majestic,Musical,8056,63,721008,48,8
15,2/15/2015,2,2015,Wicked,Gershwin,Musical,12583,87,1586692,94,8
15,2/15/2015,2,2015,You Can'T Take It With You,Longacre,Play,5167,60,412057,42,8
22,2/22/2015,2,2015,A Delicate Balance 2014,Golden,Play,4327,67,432887,48,8
22,2/22/2015,2,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,6442,89,635905,66,8
22,2/22/2015,2,2015,Aladdin,New Amsterdam,Musical,13785,100,1546267,117,8
22,2/22/2015,2,2015,Beautiful,Stephen Sondheim,Musical,7860,96,1076794,84,8
22,2/22/2015,2,2015,Cabaret '14,Studio 54,Musical,6616,93,799136,78,8
22,2/22/2015,2,2015,Chicago,Ambassador,Musical,6401,74,547833,55,8
22,2/22/2015,2,2015,Constellations,Friedman,Play,5159,99,600043,77,8
22,2/22/2015,2,2015,Disgraced,Lyceum,Play,4586,62,333065,43,8
22,2/22/2015,2,2015,Fish In The Dark,Cort,Play,8720,102,1177593,117,0
22,2/22/2015,2,2015,Hedwig And The Angry Inch,Belasco,Musical,5403,77,541166,71,7
22,2/22/2015,2,2015,Honeymoon In Vegas,Nederlander,Musical,4476,49,337003,29,8
22,2/22/2015,2,2015,If/Then,Richard Rodgers,Musical,7788,74,603920,47,8
22,2/22/2015,2,2015,It'S Only A Play,Jacobs,Play,5216,61,499442,47,8
22,2/22/2015,2,2015,Jersey Boys,August Wilson,Musical,7709,78,734939,64,8
22,2/22/2015,2,2015,Kinky Boots,Al Hirschfeld,Musical,9392,82,939884,71,8
22,2/22/2015,2,2015,Les Miserables '14,Imperial,Musical,8819,78,710992,58,8
22,2/22/2015,2,2015,Mamma Mia!,Broadhurst,Musical,7157,77,578257,58,8
22,2/22/2015,2,2015,Matilda,Shubert,Musical,11482,100,1037118,81,8
22,2/22/2015,2,2015,On The Town 2014,Lyric,Musical,7760,52,536545,30,8
22,2/22/2015,2,2015,On The Twentieth Century,American Airlines,Musical,4233,98,293584,50,0
22,2/22/2015,2,2015,The Audience,Schoenfeld,Play,7411,99,1048473,103,0
22,2/22/2015,2,2015,The Book Of Mormon,Eugene O'Neill,Musical,8745,103,1548797,111,8
22,2/22/2015,2,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,7648,94,791055,83,8
22,2/22/2015,2,2015,The Elephant Man 2014,Booth,Play,5548,102,1022479,125,7
22,2/22/2015,2,2015,The Lion King,Minskoff,Musical,13569,100,1940457,98,8
22,2/22/2015,2,2015,The Phantom Of The Opera,Majestic,Musical,10114,79,829721,55,8
22,2/22/2015,2,2015,Wicked,Gershwin,Musical,14771,97,1646631,98,8
22,2/22/2015,2,2015,You Can'T Take It With You,Longacre,Play,5574,65,403767,42,8